site,Slot 00,Slot 01,Slot 02,Slot 03,Slot 04,Slot 05
NTL0010,,,,,UBBPg3b,
NTL0106,,,,,UBBPg3b,
JTU0002,,,UBBPg2c,,UBBPg3b,
CED0001,,,UBBPg2c,,UBBPg3b,
NTL0031,,,,,UBBPg3b,
NTL0034,,,,,UBBPg3b,
NTL0007,,,,,UBBPg3b,
NTL0027,,,,,UBBPg3b,
NTL0020,,,,,UBBPg3b,
NTL0022,,,,,UBBPg3b,
NTL0026,,,,,UBBPg3b,
JTU0001,,,,,UBBPg3b,
NTL0021,,,,,UBBPg3b,
AAU0003,,,UBBPg2c,,UBBPg3b,
NTL0023,,,,,UBBPg3b,
NTL0019,,,,,UBBPg3b,
NTL0014,,,,,UBBPg3b,
ACP0001,,,UBBPg2c,,UBBPg3b,
FLA0041,,,,,UBBPg3b,
MRO0010,,,,,UBBPg3b,
TBL0001,,,,,UBBPg3b,
SGM0002,,,,,UBBPg3b,
FLA0172,,,UBBPg2a,,UBBPg3a,
AAU0001,,,,,UBBPg3b,
MRO0021,,,,,UBBPg3b,
FLA0047,,,,,UBBPg3b,
FLA0129,,,,,UBBPg3b,
FLA0132,,,,,UBBPg3b,
CCM0002,,,,,UBBPg3b,
CCM0001,,,,,UBBPg3b,
CCM0004,,,UBBPg2c,,UBBPg3b,
CATN0001,,,UBBPg2c,,UBBPg3b,
PWM0007,,,,,UBBPg3b,
PWM0008,,,,,UBBPg3b,
SGM0014,,,UBBPg2c,,UBBPg3b,
FLA0112,,,,,UBBPg3b,
SGM0015,,,UBBPg2c,,UBBPg3b,
CIC0001,,,,,UBBPg3b,
CIC0004,,,,,UBBPg3b,
CIC0005,,,,,UBBPg3b,
CIC0007,,,,,UBBPg3b,
NTL0018,,,,,UBBPg3b,
NTL0032,,,,,UBBPg3b,
APD0002-APD0007,,,UBBPg2c,,UBBPg3a,
MRO0041,,,,,UBBPg2c,
MDX0001,,,UBBPg2c,,UBBPg3b,
FLA0209,,,,,UBBPg3b,
PWM0003,,,,,UBBPg3b,
FLA0003,,,,,UBBPg3b,
SGV0002,,,UBBPg2c,,,
CVL0002,,,,,UBBPg3b,
EXZ0004,,,,,UBBPg3b,
PWM0006,,,,,UBBPg3b,
FLA0139,,,UBBPg2c,,UBBPg3b,
MRO0017,,,,,UBBPg3b,
FLA0138,,,UBBPg3a,,UBBPg3b,
